ID,year,oysters,clams,total,lobsters,link
1,1981,,,,412248,http://longislandsoundstudy.net/indicator/lobster-landings/
2,1982,,,,478390,
3,1983,,,,771332,
4,1984,,,,903600,
5,1985,,,,891389,
6,1986,,,,1108583,
7,1987,,,,849864,
8,1988,,,,1347619,
9,1989,,,,1828460,
10,1990,106364,67510,173874,1888795,http://longislandsoundstudy.net/ecosystem-target-indicators/shellfish-harvested/
11,1991,111131,67048,178179,1932940,
12,1992,117833,68792,186625,2018036,
13,1993,74817,74780,149597,2024181,
14,1994,16803,80528,97331,3628985,
15,1995,46463,106397,152860,6030851,
16,1996,94796,102873,197669,8833665,
17,1997,69538,120556,190094,8243152,
18,1998,30595,92778,123373,6914672,
19,1999,8426,109566,117992,5786555,
20,2000,18479,76903,95382,2463368,
21,2001,31400,60809,92209,1734796,
22,2002,64917,52982,117899,1194685,
23,2003,58653,75072,133725,754167,
24,2004,46664,77322,123986,878085,
25,2005,27636,94789,122425,938948,
26,2006,15412,102318,117730,1035717,
27,2007,33822,115790,149612,752293,
28,2008,39090,104151,143241,511216,
29,2009,15421,93523,108944,474624,
30,2010,20629,77462,98091,548035,
31,2011,22075,66034,88109,109699,
32,2012,24971,90881,115852,55388,
33,2013,55788,156760,212548,19436,
34,2014,118461,154205,272666,17088,
35,2015,56517,138566,195083,29991,
36,2016,30279,155338,185617,,
37,2017,18671,122570,141241,,
