ID,year,cold,warm,link,
1,1984,7.1,6.1,http://longislandsoundstudy.net/indicator/warm-watercold-water-fish-index/,
2,1985,6.2,5.0,,
3,1986,6.3,4.7,,
4,1987,6.7,3.6,,
5,1988,6.8,4.0,,
6,1989,7.6,4.1,,
7,1990,7.7,4.2,,
8,1991,7.3,4.7,,
9,1992,6.9,4.7,,
10,1993,6.9,3.8,,
11,1994,6.1,4.6,,`
12,1995,6.4,4.1,,
13,1996,6.3,4.8,,
14,1997,6.7,5.2,,
15,1998,6.8,5.2,,
16,1999,6.9,5.8,,
17,2000,6.4,6.2,,
18,2001,6.2,5.3,,
19,2002,6.3,7.5,,
20,2003,5.6,5.7,,
21,2004,5.9,5.2,,
22,2005,4.9,4.6,,
23,2006,4.7,5.8,,
24,2007,6.0,5.8,,
25,2008,6.0,5.9,,
26,2009,5.6,6.0,,
27,2010,6.1,5.3,,
28,2011,5.9,6.5,,
29,2012,5.9,8.0,,
30,2013,5.1,7.1,,
31,2014,4.6,6.8,,
32,2015,4.0,5.8,,
33,2016,5.7,7.6,,
34,2017,3.5,8.5,,
